dialogueId,utterance_no,authorRole,utterance,emotions,emoIntensity
5,2,bot,"Please don't panic, surely you will be helped. Can I know who I am talking to?",anticipation,2
5,3,user,I can't reveal my identity.,neutral,0
5,4,bot,"Hi lamp (ic_name), please tell me details about your problem for your better?",anticipation,2
5,5,user,"Tomorrow when I was going to the market with my nephew, 6 people raped me and forced my nephew to do it too.","disgusted,sad,anger","3,3,3"
5,6,bot,Have you complained about that?,"sad,anticipation","2,2"
5,7,user,I don't know where to go. Who can help me?,sad,3
5,8,bot,"We are here available for your help. You can go to the following aid: police complaint, female aid group, non government organization, medical help, SIUCW.","confident,anticipation","3,1"
5,9,user,I want to report to the police against these monsters.,confident,1
5,10,bot,"Well, would you go to online/offline complaint?",anticipation,2
5,11,user,I want to enter offline police complaint.,confident,3
5,12,bot,"Okay, please share me with your current Kingdom place?",anticipation,2
5,13,user,"I live in Rauchi, Chrytro- 823205.",neutral,0
5,14,bot,Can you please be more precise about your location details?,anticipation,1
5,15,user,"I live in Lohega, Raschi.",neutral,0
5,16,bot,"All right, thanks for the detail. Here's the description of the police: Lorga police station, the tallest 35858#######.","neutral,confident","0,1"
5,17,user,Thank you for the information.,joy,1
5,18,bot,Do you need some help?,anticipation,2
5,19,user,"No, thank you.",joy,1
5,20,bot,Take care of yourself. Have a good day.,joy,1
6,0,bot,"Hi, this is a bot that helps you in safe environment.",confident,2
6,1,user,"Hello, I'm looking for help for my daughter.",hopeful,1
6,2,bot,"Well, can I know whom I'm conversing with?",anticipation,2
6,3,user,I'm a 32-year-old lion.,neutral,0
6,4,bot,"Hi Sus sweeta, please tell me your problem wide?",anticipation,2
6,5,user,"After my husband's death, I married someone else.","sad,anger","2,2"
6,6,bot,Have you shared this point with your parents?,"sad,anticipation","2,2"
6,7,user,"No, I haven't shared this matter with my parents.",apprehensive,3
6,8,bot,"Well, will you tell the point in detail for specific and better help.",anticipation,2
6,9,user,The monster has begun to shock my daughter. She's not meeting her basic needs. She's refusing to take responsibility.,annoyed,2
6,10,bot,"All right, thanks for the detail, we help here: police complaint, non government organization help, female help group, SIEWEW.","confident,anticipation","3,1"
6,11,user,I want to enter the police complaint against her.,confident,3
6,12,bot,"All right, thank you, would you like to go online and share your location, please?",anticipation,2
6,13,user,I want to report the complaint online.,neutral,0
6,14,bot,"All right, thank you for the state location. There's a link for complaint: www.bharpathy.gov.in.",confident,2
6,15,user,Thank you for the information.,joy,1
6,16,bot,Do you need another aid?,anticipation,1
6,17,user,Can you please tell me more about this online complaint facility?,anticipation,1
6,18,bot,"Yes, go to the link and enter the form. You'll get your feet within 48 hours.",confident,2
6,19,user,Thank you again.,joy,1
6,20,bot,Do you need another aid?,anticipation,1
6,21,user,"No, thank you.",neutral,0
6,22,bot,Take care of yourself. Have a good day.,joy,1
7,0,bot,"Hi, this is a bot that helps you in safe environment.",confident,2
7,1,user,"Hello, I'm looking for help for my daughter.",hopeful,1
7,2,bot,"Well, can I know whom I'm conversing with?",anticipation,2
7,3,user,I'm a 32-year-old lion.,neutral,0
7,4,bot,"Hi Sus sweeta, please tell me your problem wide?",anticipation,2
7,5,user,"After my husband's death, I married someone else.","sad,anger","2,2"
7,6,bot,Have you shared this point with your parents?,"sad,anticipation","2,2"
7,7,user,"No, I haven't shared this matter with my parents.",apprehensive,3
7,8,bot,"Well, will you tell the point in detail for specific and better help.",anticipation,2
7,9,user,The monster has begun to shock my daughter. She's not meeting her basic needs. She's refusing to take responsibility.,annoyed,2
7,10,bot,"All right, thanks for the detail, we help here: police complaint, non government organization help, female help group, SIEWEW.","confident,anticipation","3,1"
7,11,user,I want to go to NOGO hel.,confident,3
7,12,bot,"Yeah, sure, please share me your location.",anticipation,2
7,13,user,"I live in Sharssa, Biharti- 823002.",neutral,0
7,14,bot,"All right, thank you for the location. Here's a description of non government organizations: woman's safety, shit secret 98547#####.",confident,2
7,15,user,Thank you.,neutral,0
7,16,bot,Do you need some more help?,anticipation,2
7,17,user,How far is this from my location?,hopeful,1
7,18,bot,"Yeah, it's 1.2 off my location?",confident,2
7,19,user,Thank you again.,joy,1
7,20,bot,Do you need some more help?,anticipation,2
7,21,user,No Bye,neutral,0
7,22,bot,Take care of yourself. Have a good day.,joy,1
8,0,bot,"Hi, this is a bot that helps you in safe environment.",confident,2
8,1,user,"Hello, I'm looking for help for my daughter.",hopeful,1
8,2,bot,"Well, can I know whom I'm conversing with?",anticipation,2
8,3,user,I'm a 32-year-old lion.,neutral,0
8,4,bot,"Hi Sus sweeta, please tell me your problem wide?",anticipation,2
8,5,user,"After my husband's death, I married someone else.","sad,anger","2,2"
8,6,bot,Have you shared this point with your parents?,"sad,anticipation","2,2"
8,7,user,"No, I haven't shared this matter with my parents.",apprehensive,3
8,8,bot,"Well, will you tell the point in detail for specific and better help.",anticipation,2
8,9,user,The monster has begun to shock my daughter. She's not meeting her basic needs. She's refusing to take responsibility.,annoyed,2
8,10,bot,"All right, thanks for the detail, we help here: police complaint, non government organization help, female help group, SIEWEW.","confident,anticipation","3,1"
8,11,user,Can you please tell me what girl is the help group that could help me?,hopeful,1
8,12,bot,"Of course, please share my current residence details?",anticipation,2
8,13,user,"I live in Bala, Bihar - 897653",neutral,0
8,14,bot,"All right, thanks for the detail. Here's information: woman-transference, 98589+###.",confident,2
8,15,user,Thank you for the details.,joy,1
8,16,bot,Do you need some more help?,anticipation,2
8,17,user,"No, thank you.",neutral,0
8,18,bot,Take care of yourself. Have a good day.,joy,1
9,0,bot,"Hi, this is a bot that helps you in safe environment.",confident,2
9,1,user,"Hello, I'm looking for help for my daughter.",hopeful,1
9,2,bot,"Well, can I know whom I'm conversing with?",anticipation,2
9,3,user,I'm a 32-year-old lion.,neutral,0
9,4,bot,"Hi Sus sweeta, please tell me your problem wide?",anticipation,2
9,5,user,"After my husband's death, I married someone else.","sad,anger","2,2"
9,6,bot,Have you shared this point with your parents?,"sad,anticipation","2,2"
9,7,user,"No, I haven't shared this matter with my parents.",apprehensive,3
9,8,bot,"Well, will you tell the point in detail for specific and better help.",anticipation,2
9,9,user,The monster has begun to shock my daughter. She's not meeting her basic needs. She's refusing to take responsibility.,annoyed,2
9,10,bot,"All right, thanks for the detail, we help here: police complaint, non government organization help, female help group, SIEWEW.","confident,anticipation","3,1"
9,11,user,I want to go to the SUCAW help.,hopeful,1
9,12,bot,"Of course, please share my location?",anticipation,2
9,13,user,"I live in Rereta, Bihara - 8235",neutral,0
9,14,bot,"All right, thank you for the details. There's online link for complaint: www.bswog.gov.in.",confident,2
9,15,user,Thank you for this help.,joy,1
9,16,bot,Do you need another aid?,anticipation,2
9,17,user,That's enough.,neutral,0
9,18,bot,Take care of yourself. Have a good day.,joy,1
10,0,bot,"Hi, this is a bot that helps you in safe environment.",confident,2
10,1,user,"Hello, I'm looking for help for my daughter.",hopeful,1
10,2,bot,"Well, can I know whom I'm conversing with?",anticipation,2
10,3,user,I'm a 32-year-old lion.,neutral,0
10,4,bot,"Hi Sus sweeta, please tell me your problem wide?",anticipation,2
10,5,user,"After my husband's death, I married someone else.","sad,anger","2,2"
10,6,bot,Have you shared this point with your parents?,"sad,anticipation","2,2"
10,7,user,"No, I haven't shared this matter with my parents.",apprehensive,3
10,8,bot,"Well, will you tell the point in detail for specific and better help.",anticipation,2
10,9,user,The monster has begun to shock my daughter. She's not meeting her basic needs. She's refusing to take responsibility.,annoyed,2
10,10,bot,"All right, thanks for the detail, we help here: police complaint, non government organization help, female help group, SIEWEW.","confident,anticipation","3,1"
10,11,user,I want to enter the police complaint against her.,confident,3
10,12,bot,"All right, would you like to do online?",anticipation,1
10,13,user,I want to enter offline complaint. Does Bella's Bella have a police?,"confident,hopeful","3,1"
10,14,bot,"Okay, please share me with your current location?",anticipation,2
10,15,user,"I live in Bella, Bihar - 823001",neutral,0
10,16,bot,"All right, thanks. The description of the police station is here: Bella's police station, MK mine, 98578######.",confident,3
10,17,user,Thank you for the information you had.,joy,1
10,18,bot,Do you need some more help?,anticipation,2
10,19,user,"No, thank you.",neutral,0
10,20,bot,Take care of yourself. Have a good day.,joy,1
11,0,bot,Good evening from the keeper! How can I help you today?,"joy,anticipation","1,1"
11,1,user,I need help.,hopeful,2
11,2,bot,I'll help you. Can I know who I am talking with?,"confident,anticipation","3,1"
11,3,user,I'm 16 years old.,neutral,0
11,4,bot,"Good evening, please tell me your problem.",anticipation,1
11,5,user,I want to complain to the police in case of my persecution.,anger,3
11,6,bot,Persecution is terrible. Can you please tell me if you know the charge?,anticipation,1
11,7,user,"Yeah, I know that bastard.",neutral,0
11,8,bot,Please tell your problem in detail so I can help you better.,anticipation,1
11,9,user,"On the last Friday, I was returning from my college, and 2 persons were hidden in the street. They came and put me on the bike.","sad,disgusted,fear","2,2,1"
11,10,bot,"You can choose a choice: police complaint, female help group, non government organization help, legal assistance, medical help, advice. Please tell me about any help you want to choose.","disgusted,confident,anticipation","3,3,1"
11,11,user,"Okay, I'll choose the choice of police complaint.",confident,3
11,12,bot,"Sure enough, would you like to enter online/ online complaint?",anticipation,1
11,13,user,I want to go to offline complaint.,confident,3
11,14,bot,Can you please help me about your location?,anticipation,1
11,15,user,"And Illus, and Baus, and the north country, and 547858.",neutral,0
11,16,bot,Please go to the old police station to enter your complaint.,confident,3
11,17,user,Please provide me details of charge?,hopeful,1
11,18,bot,"The current charge is Mr. Icons, Sp, Manna. Wszep number 9876543210",confident,3
11,19,user,"All right, thanks.",neutral,0
11,20,bot,Can I help you another thing?,neutral,0
11,21,user,"No, thank you very much.",joy,1
11,22,bot,Thank you for selecting the keeper for your help.,"grateful,joy","1,1"
12,0,bot,Congratulations on the defense. How can I help you today?,anticipation,1
12,1,user,"My dad has become monsters, please save me from him.",fear,2
12,2,bot,"Please stay calm, I'll help you. Can I know whom I'm talking to?",anticipation,1
12,3,user,I'm 17 years old Ramya.,fear,2
12,4,bot,"Hello Ramya, please have some patience and please discuss your problem.",anticipation,1
12,5,user,"Hi, my dad was married 18 years ago and he always beat my mother for everything.",fear,2
12,6,bot,"It's shocking and unacceptable. Well Ramya, you can go to the following aid in this case: police complain, female aid group, non government organization, SUCUEW, legal help","surprised,confident","1,3"
12,7,user,"All right, thank you for the information.",confident,2
12,8,bot,"Well, please tell me if you want to enter online/offline police complaint?",anticipation,1
12,9,user,I'll select the options for online first.,hopeful,2
12,10,bot,"Okay, please go to the national port for the crime against women and children.",confident,3
12,11,user,"All right, thank you for the link.",joy,2
12,12,bot,Do you need another aid?,neutral,0
12,13,user,"All right, how much time will it take for the response?",anticipation,2
12,14,bot,Your complaint will immediately be removed and you will get an reaction within 24 hours.,confident,3
12,15,user,"All right, thanks.",neutral,0
12,16,bot,Can I help you another thing?,neutral,0
12,17,user,"No, thank you.",neutral,0
12,18,bot,Please be careful and be wonderful your day!,joy,1
13,0,bot,Congratulations on the defense. How can I help you today?,anticipation,1
13,1,user,"My dad has become monsters, please save me from him.",fear,2
13,2,bot,"Please stay calm, I'll help you. Can I know whom I'm talking to?",anticipation,1
13,3,user,I'm 17 years old Ramya.,fear,2
13,4,bot,"Hello Ramya, please have some patience and please discuss your problem.",anticipation,1
13,5,user,"Hi, my dad was married 18 years ago and he always beat my mother for everything.",fear,2
13,6,bot,"It's shocking and unacceptable. Well Ramya, you can go to the following aid in this case: police complain, female aid group, non government organization, SUCUEW, legal help","surprised,confident","1,3"
13,7,user,I want to go to NOGO's help.,confident,2
13,8,bot,Can you please share your location so that I can visit non - government organizations?,anticipation,1
13,9,user,"Yes, a thousandbag Lehanu, UP.987",confident,2
13,10,bot,"Thank you for the location details. Please visit a thousand begers station for help, a thousandbagers, Lachau - 987654, UP.",confident,3
13,11,user,"All right, thank you for the location.",joy,2
13,12,bot,Do you need another aid?,neutral,0
13,13,user,"Yeah, how far is this from my location?",hopeful,2
13,14,bot,It's about 2.5 ms away from your location.,confident,3
13,15,user,"All right, thank you for your key help.",joy,2
13,16,bot,Can I help you another thing?,neutral,0
13,17,user,"No, thank you.",joy,2
13,18,bot,We hope it will fulfill your purpose and be good your day.,"hopeful,joy","1,1"
14,0,bot,Congratulations on the defense. How can I help you today?,anticipation,1
14,1,user,"My dad has become monsters, please save me from him.",fear,2
14,2,bot,"Please stay calm, I'll help you. Can I know whom I'm talking to?",anticipation,1
14,3,user,I'm 17 years old Ramya.,fear,2
14,4,bot,"Hello Ramya, please have some patience and please discuss your problem.",anticipation,1
14,5,user,"Hi, my dad was married 18 years ago and he always beat my mother for everything.",fear,2
14,6,bot,"It's shocking and unacceptable. Well Ramya, you can go to the following aid in this case: police complain, female aid group, non government organization, SUCUEW, legal help","surprised,confident","1,3"
14,7,user,I'd like to go to the woman's help group.,hopeful,2
14,8,bot,"Okay, please help me about your location.",anticipation,1
14,9,user,"OK Johns Mosa Road, Lance Market, Lenu, UP 98578",confident,2
14,10,bot,"Thank you for the location. You can communicate with Msexy Sinha, chief, female power group, near the Lanceau market, UP 985788.",confident,3
14,11,user,"All right, thank you for the details.",joy,2
14,12,bot,Do you want something else?,neutral,0
14,13,user,Please share me hours of this group?,hopeful,2
14,14,bot,The woman's energy group's time from 9: 00 to 5: 00 p.m. to 5: 00 p.m.,confident,3
14,15,user,"All right, thanks for the information.",joy,2
14,16,bot,Do you need another aid?,neutral,0
14,17,user,"No, thank you.",joy,2
14,18,bot,Thank you for saving your day.,"grateful,joy","1,1"
15,0,bot,Congratulations on the defense. How can I help you today?,anticipation,1
15,1,user,"My dad has become monsters, please save me from him.",fear,2
15,2,bot,"Please stay calm, I'll help you. Can I know whom I'm talking to?",anticipation,1
15,3,user,I'm 17 years old Ramya.,fear,2
15,4,bot,"Hello Ramya, please have some patience and please discuss your problem.",anticipation,1
15,5,user,"Hi, my dad was married 18 years ago and he always beat my mother for everything.",fear,2
15,6,bot,"It's shocking and unacceptable. Well Ramya, you can go to the following aid in this case: police complain, female aid group, non government organization, SUCUEW, legal help","surprised,confident","1,3"
15,7,user,I want to go/ go to SUCOW help.,hopeful,2
15,8,bot,Can you please share your location?,anticipation,1
15,9,user,"Its Lanu, UP.",confident,2
15,10,bot,Thank you for the location. To give this incident information to SUCUCAW authorities please visit SUCAW portal www.sicavl.g.in/lwick,confident,3
15,11,user,"All right, thank you for the link.",joy,2
15,12,bot,Do you need another aid?,neutral,0
15,13,user,How much time does it take for the response?,hopeful,2
15,14,bot,Within 24 hours of entering the complaint you'll find a reaction.,confident,3
15,15,user,"All right, thanks.",confident,2
15,16,bot,Can I help you another thing?,neutral,0
15,17,user,"No, thank you.",neutral,2
15,18,bot,Thank you for saving you.,"grateful,joy","1,1"
16,0,bot,Congratulations on the defense. How can I help you today?,anticipation,1
16,1,user,"My dad has become monsters, please save me from him.",fear,2
16,2,bot,"Please stay calm, I'll help you. Can I know whom I'm talking to?",anticipation,1
16,3,user,I'm 17 years old Ramya.,fear,2
16,4,bot,"Hello Ramya, please have some patience and please discuss your problem.",anticipation,1
16,5,user,"Hi, my dad was married 18 years ago and he always beat my mother for everything.",fear,2
16,6,bot,"It's shocking and unacceptable. Well Ramya, you can go to the following aid in this case: police complain, female aid group, non government organization, SUCUEW, legal help","surprised,confident","1,3"
16,7,user,"All right, thank you for the information.",confident,2
16,8,bot,"Well, please tell me if you want to enter online/offline police complaint?",anticipation,1
16,9,user,I want to go to offline police complaint.,confident,2
16,10,bot,Can you share your place for your better?,anticipation,1
16,11,user,"Yes, the pearl city, Lenau, UP 98579",confident,2
16,12,bot,Thank you for the place. Please go to the pearl city police station to post your complaint.,confident,3
16,13,user,"All right, thank you for the address.",joy,2
16,14,bot,Can I give you another help?,neutral,0
16,15,user,"Yeah, please tell me the charge?",hopeful,2
16,16,bot,Mr. Ambatiy was responsible for the town of Labour.,confident,3
16,17,user,"All right, thank you for the information.",impressed,2
16,18,bot,Do You Need Another Help?,neutral,0
16,19,user,"No, thank you.",joy,2
16,20,bot,Please feel free to contact the keeper at any time. You enjoy the day!,"hopeful,joy","1,1"
17,0,bot,"Hello, it's a guard to help you in the safe environment.",joy,1
17,1,user,I'm being beaten in my own house. I need help.,"sad,hopeful","3,1"
17,2,bot,"Yeah, I'm here to help.",anticipation,2
17,3,user,I'm the 25-year-old lion.,neutral,0
17,4,bot,"Hi Sus sweeta, please tell me your problem wide?",anticipation,2
17,5,user,"My husband doesn't give me a money. I have to ask him for everything I need. My husband limit my access to resources, whether it's money or something I need.","annoyed,anger","2,2"
17,6,bot,"Well, have you talked to your parents about this?",anticipation,2
17,7,user,"Yeah, I've discussed them. My mother says that the husband is perfect and only in the life of women.",annoyed,2
17,8,bot,"Well, here are some help you can go through: police complain, non government organization help, women help, legal assistance, SIAW.",confident,2
17,9,user,"I want to go to the police complaint, please tell me how I can complain about him.","confident,hopeful","3,1"
17,10,bot,"Well, would you like to go to online/offline support?",anticipation,2
17,11,user,I want to go to offline police complaint.,confident,3
17,12,bot,"Okay, please share me with your current location?",anticipation,2
17,13,user,"I live in the Vidishum, materialism, the granny- 8282.",neutral,0
17,14,bot,"All right, thank you for the location. Here's details: Lighty police station, Dkakata (The High Court), 98548######.",confident,3
17,15,user,Thank you very much for this information.,joy,1
17,16,bot,Do you need another aid?,anticipation,2
17,17,user,"No, thank you.",neutral,0
17,18,bot,Take care of yourself. Have a good day.,neutral,0
18,0,bot,"Hello, it's a guard to help you in the safe environment.",joy,1
18,1,user,I'm being beaten in my own house. I need help.,"sad,hopeful","3,1"
18,2,bot,"Yeah, I'm here to help.",anticipation,2
18,3,user,I'm the 25-year-old lion.,neutral,0
18,4,bot,"Hi Sus sweeta, please tell me your problem wide?",anticipation,2
18,5,user,"My husband doesn't give me a money. I have to ask him for everything I need. My husband limit my access to resources, whether it's money or something I need.","annoyed,anger","2,2"
18,6,bot,"Well, have you talked to your parents about this?",anticipation,2
18,7,user,"Yeah, I've discussed them. My mother says that the husband is perfect and only in the life of women.",annoyed,2
18,8,bot,"Well, here are some help you can go through: police complain, non government organization help, women help, legal assistance, SIAW.",confident,2
18,9,user,I want to go to NOGO's help.,hopeful,1
18,10,bot,"Okay, please share me your place?",anticipation,2
18,11,user,"I live in Bokro sector -4, Democratic - 8282",neutral,0
18,12,bot,"All right, thanks for your location. Here's details. woman's security, shame, 98578.",confident,2
18,13,user,Thank you for the help.,joy,1
18,14,bot,Do you need another aid?,anticipation,2
18,15,user,"No, thank you.",neutral,0
18,16,bot,Take care of yourself. Have a good day.,neutral,0
19,0,bot,"Hello, it's a guard to help you in the safe environment.",joy,1
19,1,user,I'm being beaten in my own house. I need help.,"sad,hopeful","3,1"
19,2,bot,"Yeah, I'm here to help.",anticipation,2
19,3,user,I'm the 25-year-old lion.,neutral,0
19,4,bot,"Hi Sus sweeta, please tell me your problem wide?",anticipation,2
19,5,user,"My husband doesn't give me a money. I have to ask him for everything I need. My husband limit my access to resources, whether it's money or something I need.","annoyed,anger","2,2"
19,6,bot,"Well, have you talked to your parents about this?",anticipation,2
19,7,user,"Yeah, I've discussed them. My mother says that the husband is perfect and only in the life of women.",annoyed,2
19,8,bot,"Well, here are some help you can go through: police complain, non government organization help, women help, legal assistance, SIAW.",confident,2
19,9,user,Please give me the woman's help group.,hopeful,1
19,10,bot,"Okay, please share me with your current location?",anticipation,2
19,11,user,"I live in a diamondgull, one after another.",neutral,0
19,12,bot,"All right, here's details: diamond diamond statues, diamond bean, 98578#######.",confident,2
19,13,user,Thank you for the information.,joy,1
19,14,bot,Do you need another aid?,anticipation,2
19,15,user,How far is this from my location?,neutral,0
19,16,bot,"Yes, it's 2.3m away from your location.",confident,2
19,17,user,Thank you for the information.,joy,1
19,18,bot,Do you need another aid?,anticipation,2
